model,query_isbn,length_bucket,precision_at_10,ild
naive,9780345485250,medium,0.2,0.6
naive,9780609801406,short,0.0,0.6
naive,9780553575651,medium,0.1,0.6
naive,9780385333511,short,0.1,0.6
naive,9780141310695,short,0.1,0.6
naive,9780425213384,medium,0.2,0.6
naive,9780060834005,short,0.0,0.6
naive,9781400077304,short,0.0,0.6
naive,9781931082730,medium,0.1,0.6
naive,9780345352446,long,0.0,0.6
naive,9780374525804,short,0.1,0.6
naive,9781595821072,long,0.0,0.6
naive,9780060930530,medium,0.2,0.6
naive,9780553576009,short,0.2,0.6
naive,9781557830418,medium,0.0,0.6
naive,9781585672325,medium,0.2,0.6
naive,9781857989342,medium,0.0,0.6
naive,9780330332651,short,0.0,0.6
naive,9780465069903,medium,0.0,0.6
naive,9780785113799,medium,0.0,0.6
naive,9780440400349,short,0.0,0.6
naive,9780060735456,long,0.2,0.6
naive,9780804006941,medium,0.0,0.6
naive,9780553578973,medium,0.1,0.6
naive,9780743250443,medium,0.0,0.6
naive,9780072920963,medium,0.0,0.6
naive,9780099928409,medium,0.0,0.6
naive,9780192833761,long,0.2,0.6
naive,9780312852535,medium,0.2,0.6
naive,9780465081981,long,0.0,0.6
naive,9781594489259,medium,0.0,0.6
naive,9780553584530,medium,0.2,0.6
naive,9780345436917,medium,0.1,0.6
naive,9780738206363,short,0.0,0.6
naive,9780807062135,medium,0.0,0.6
naive,9780141182803,long,0.2,0.6
naive,9781852339463,medium,0.0,0.6
naive,9781551114125,long,0.0,0.6
naive,9780142405741,medium,0.0,0.6
naive,9780345477521,medium,0.2,0.6
naive,9781887368889,short,0.1,0.6
naive,9780375714498,medium,0.0,0.6
naive,9780836269147,short,0.2,0.6
naive,9780061030659,long,0.2,0.6
naive,9780143037835,medium,0.0,0.6
naive,9780674018297,medium,0.0,0.6
naive,9780743255486,long,0.0,0.6
naive,9780787976385,long,0.0,0.6
naive,9780446614832,long,0.1,0.6
naive,9781890447427,short,0.2,0.6
naive,9780486212326,short,0.2,0.6
naive,9780439499064,long,0.0,0.6
naive,9780385334235,medium,0.2,0.6
naive,9781590301944,short,0.1,0.6
naive,9781594201004,medium,0.0,0.6
naive,9781898573456,medium,0.0,0.6
naive,9780786812912,short,0.0,0.6
naive,9780806115603,long,0.0,0.6
naive,9780689718762,short,0.0,0.6
naive,9780679726487,short,0.0,0.6
naive,9780805080513,short,0.2,0.6
naive,9780140502879,short,0.2,0.6
naive,9780142002001,medium,0.2,0.6
naive,9780330367349,medium,0.0,0.6
naive,9780440229209,short,0.3,0.6
naive,9780727861153,medium,0.1,0.6
naive,9780099461098,short,0.0,0.6
naive,9780553382617,medium,0.2,0.6
naive,9780886771287,short,0.2,0.6
naive,9780140149241,medium,0.0,0.6
naive,9780345483898,medium,0.2,0.6
naive,9780425212783,medium,0.2,0.6
naive,9780330373579,long,0.0,0.6
naive,9780743269513,medium,0.0,0.6
naive,9780752851808,medium,0.0,0.6
naive,9781416520863,medium,0.1,0.6
naive,9780571144563,short,0.0,0.6
naive,9780786809608,long,0.0,0.6
naive,9780380793471,long,0.4,0.6
naive,9781574671322,medium,0.0,0.6
naive,9780785260059,long,0.0,0.6
naive,9780395740101,medium,0.0,0.6
naive,9780689845369,long,0.2,0.6
naive,9780812927313,medium,0.0,0.6
naive,9780679723127,short,0.0,0.6
naive,9781857239706,long,0.0,0.6
naive,9780099285557,long,0.0,0.6
naive,9780060773755,long,0.2,0.6
naive,9780446604239,long,0.2,0.6
naive,9780755305308,medium,0.0,0.6
naive,9780156907392,short,0.2,0.6
naive,9780670910618,medium,0.0,0.6
naive,9781414306346,medium,0.0,0.6
naive,9780446576987,medium,0.2,0.6
naive,9780307236012,short,0.0,0.6
naive,9780465017744,long,0.0,0.6
naive,9780140449143,short,0.0,0.6
naive,9780886776060,medium,0.1,0.6
naive,9780061238239,medium,0.0,0.6
naive,9781931615037,medium,0.0,0.6
naive,9780312186883,medium,0.2,0.6
naive,9780340774779,medium,0.0,0.6
naive,9780679600176,short,0.2,0.6
naive,9780805069860,long,0.0,0.6
naive,9780802133113,medium,0.0,0.6
naive,9780099273844,long,0.0,0.6
naive,9781569550342,medium,0.0,0.6
naive,9780156027915,short,0.0,0.6
naive,9780099271499,long,0.2,0.6
naive,9781400095285,medium,0.1,0.6
naive,9780192833006,long,0.0,0.6
naive,9780152057084,short,0.0,0.6
naive,9780226042756,long,0.0,0.6
naive,9781903015070,medium,0.0,0.6
naive,9780140275018,medium,0.0,0.6
naive,9780553585759,medium,0.2,0.6
naive,9780060727536,long,0.0,0.6
naive,9781590583425,long,0.1,0.6
naive,9780684848150,medium,0.2,0.6
naive,9780345478252,long,0.1,0.6
naive,9780761129585,short,0.0,0.6
naive,9780345468031,medium,0.0,0.6
naive,9780787960759,long,0.0,0.6
naive,9780140189865,short,0.0,0.6
naive,9780312274924,long,0.0,0.6
naive,9780552153577,long,0.0,0.6
classical,9780140449327,medium,0.2,0.8888888888888888
classical,9780812574999,medium,0.8,0.37777777777777777
classical,9780679727224,medium,0.3,0.8444444444444444
classical,9780679731184,medium,0.1,0.6444444444444445
classical,9780345437976,medium,0.5,0.37777777777777777
classical,9780811848831,long,0.0,0.7111111111111111
classical,9781590526873,medium,0.4,0.5111111111111111
classical,9780007119332,long,0.1,0.8444444444444444
classical,9780330338813,medium,0.0,0.9333333333333333
classical,9780976249870,medium,0.0,0.7111111111111111
classical,9780553560275,medium,0.4,0.7555555555555555
classical,9780553381399,medium,0.2,0.8222222222222222
classical,9781416909057,medium,0.2,0.7555555555555555
classical,9780140144185,long,0.0,0.8
classical,9780471272427,long,0.1,0.9333333333333333
classical,9780596006938,short,0.0,1.0
classical,9780465081431,medium,0.3,0.7555555555555555
classical,9780812971064,medium,0.1,0.6666666666666666
classical,9780156011655,medium,0.3,0.5333333333333333
classical,9780553583175,medium,0.6,0.37777777777777777
classical,9780060511135,long,0.5,0.7777777777777778
classical,9780143036241,long,0.0,0.8666666666666667
classical,9780849918728,medium,0.2,0.8444444444444444
classical,9780691015972,short,0.0,0.9111111111111111
classical,9780141183725,short,0.4,0.6666666666666666
classical,9780231073370,long,0.0,0.7777777777777778
classical,9780786886326,medium,0.3,0.5333333333333333
classical,9780764585968,long,0.7,0.0
classical,9780751504330,long,0.0,0.5111111111111111
classical,9780471648796,long,0.0,0.7111111111111111
classical,9781890208288,medium,0.7,0.37777777777777777
classical,9780899421698,medium,0.0,0.7111111111111111
classical,9780553564938,short,0.3,0.6666666666666666
classical,9780786714827,medium,0.1,0.7777777777777778
classical,9780375415036,medium,0.0,0.5333333333333333
classical,9780449001134,long,0.4,0.8666666666666667
classical,9780439682589,medium,0.4,0.5333333333333333
classical,9780375757280,medium,0.1,0.9555555555555556
classical,9780552146784,medium,0.0,0.6666666666666666
classical,9780451528803,short,0.6,0.6666666666666666
classical,9780789458209,medium,0.1,0.8222222222222222
classical,9780140436143,long,0.2,0.7555555555555555
classical,9780812522839,medium,0.3,0.7555555555555555
classical,9780441444250,medium,0.3,0.5333333333333333
classical,9780679763437,medium,0.0,0.8666666666666667
classical,9780806127941,short,0.0,0.7777777777777778
classical,9780439746861,short,0.2,0.8444444444444444
classical,9780142003800,medium,0.2,0.8444444444444444
classical,9780449006535,medium,0.4,0.7555555555555555
classical,9780688140717,long,0.1,0.9555555555555556
classical,9780345418777,short,0.2,0.7555555555555555
classical,9780373767618,medium,0.1,0.5333333333333333
classical,9780618260300,short,0.0,0.6666666666666666
classical,9780141187426,long,0.2,0.9777777777777777
classical,9780446518628,long,0.1,0.8666666666666667
classical,9780755321384,long,0.2,0.5333333333333333
classical,9780765341297,short,0.5,0.6444444444444445
classical,9780452282179,short,0.0,0.6666666666666666
classical,9781560251149,long,0.0,0.7555555555555555
classical,9780738544922,long,0.0,0.8666666666666667
classical,9780486442174,medium,0.5,0.7555555555555555
classical,9780375701887,short,0.0,0.8
classical,9780786000234,medium,0.1,0.9777777777777777
classical,9780553574012,short,0.1,0.9111111111111111
classical,9780761417125,short,0.2,0.8222222222222222
classical,9780439847773,short,0.6,0.5333333333333333
classical,9781574889239,short,0.1,0.8666666666666667
classical,9780140299946,short,0.9,0.2
classical,9780691008530,short,0.1,0.7777777777777778
classical,9780811211734,medium,0.1,0.9555555555555556
classical,9780060511104,long,0.6,0.5333333333333333
classical,9780330351829,short,0.1,0.8666666666666667
classical,9780141186177,short,0.7,0.37777777777777777
classical,9780340828069,long,0.0,0.7777777777777778
classical,9781577780724,short,0.0,0.7777777777777778
classical,9781594481772,short,0.0,0.9555555555555556
classical,9780375407932,medium,0.2,0.8444444444444444
classical,9780805832891,medium,0.1,0.9777777777777777
classical,9780812696011,medium,0.3,0.8888888888888888
classical,9780698118751,short,0.1,0.9555555555555556
classical,9780452011878,short,0.0,0.9777777777777777
classical,9780596006792,long,0.1,0.7777777777777778
classical,9780374253844,medium,0.0,0.7777777777777778
classical,9781564782991,medium,0.3,0.8888888888888888
classical,9780142301449,short,0.1,0.7555555555555555
classical,9780892967896,medium,0.0,0.5333333333333333
classical,9780312267179,short,0.1,0.9111111111111111
classical,9780451207142,short,0.2,0.5111111111111111
classical,9780723247791,long,0.0,0.7777777777777778
classical,9780743284288,short,0.1,1.0
classical,9780939666508,short,0.2,0.8444444444444444
classical,9780886776176,medium,0.3,0.5333333333333333
classical,9780439485876,medium,0.2,0.9333333333333333
classical,9780679847595,short,0.1,0.9333333333333333
classical,9780385339605,medium,0.8,0.37777777777777777
classical,9780140436075,long,0.6,0.37777777777777777
classical,9780517146484,short,0.0,0.2
classical,9781582433417,medium,0.2,0.8
classical,9780446578271,long,0.1,0.6666666666666666
classical,9780345433749,short,0.4,0.8
classical,9780756620950,medium,0.0,0.7777777777777778
classical,9780060535117,medium,0.0,0.6666666666666666
classical,9780517543054,medium,0.1,0.9777777777777777
classical,9780140449778,long,0.3,0.9111111111111111
classical,9780425146224,short,0.4,0.6666666666666666
classical,9780571203154,short,0.0,0.5333333333333333
classical,9780440221661,medium,0.4,0.6666666666666666
classical,9780441623822,medium,0.5,0.6666666666666666
classical,9780140441376,long,0.0,0.8444444444444444
classical,9780349100135,long,0.0,0.8444444444444444
classical,9780787967413,long,0.0,0.9777777777777777
classical,9780441102679,medium,0.3,0.6666666666666666
classical,9780140449280,long,0.0,0.5333333333333333
classical,9780446300001,medium,0.2,0.37777777777777777
classical,9780674961876,short,0.1,0.9111111111111111
classical,9780804119184,short,0.4,0.7777777777777778
classical,9780812574739,long,0.8,0.37777777777777777
classical,9780385236256,medium,0.3,0.6666666666666666
classical,9780195117950,long,0.0,0.6666666666666666
classical,9780486426754,long,0.2,0.9111111111111111
classical,9781581807745,long,0.0,0.9555555555555556
classical,9780140284126,long,0.3,0.8666666666666667
classical,9781582294018,long,0.4,0.37777777777777777
classical,9781586638221,medium,0.0,0.37777777777777777
classical,9781402732980,medium,0.4,0.6666666666666666
classical,9780679767824,long,0.2,0.6666666666666666
classical,9781593761226,long,0.1,0.5333333333333333
classical,9780743464796,long,0.0,0.9111111111111111
classical,9780452276963,medium,0.7,0.2
classical,9780718144463,medium,0.0,0.8
classical,9780060510855,medium,0.3,0.5333333333333333
classical,9780760728505,short,0.0,0.7111111111111111
classical,9780451185976,short,0.0,0.2
classical,9780060833183,medium,0.5,0.6444444444444445
classical,9781891190230,long,0.0,0.9333333333333333
classical,9780553372120,short,0.1,0.9111111111111111
classical,9781598165777,medium,0.1,0.6888888888888889
classical,9780465092758,short,0.4,0.8444444444444444
classical,9781890447175,long,0.4,0.8666666666666667
classical,9780375719004,short,0.2,0.8888888888888888
classical,9780679444596,short,0.3,0.7777777777777778
classical,9780060092573,short,0.0,0.8666666666666667
classical,9780345490643,long,0.4,0.7777777777777778
classical,9781591391678,long,0.0,0.8444444444444444
classical,9780449002988,short,0.3,0.9333333333333333
classical,9780679755524,medium,0.3,0.9111111111111111
classical,9780060973339,medium,0.1,0.7777777777777778
classical,9781932234299,long,0.1,0.8444444444444444
classical,9780345461674,medium,0.2,0.0
classical,9780471292517,long,0.2,0.8444444444444444
classical,9781933648279,long,0.2,0.8666666666666667
classical,9780843951424,short,0.5,0.5333333333333333
classical,9780811201353,medium,0.0,0.8222222222222222
classical,9781888996289,short,0.1,0.9333333333333333
classical,9780786918140,medium,0.4,0.7555555555555555
classical,9780066620107,medium,0.0,0.8444444444444444
classical,9780822011088,long,0.6,0.0
classical,9781580628365,medium,0.1,0.9333333333333333
classical,9780802829665,medium,0.0,0.9555555555555556
classical,9780440208143,medium,0.3,0.7333333333333333
classical,9780061020704,medium,0.4,0.8444444444444444
classical,9781578067596,long,0.0,0.7555555555555555
classical,9780520239326,medium,0.0,0.7777777777777778
classical,9780370307121,short,0.0,0.8666666666666667
classical,9780140439052,medium,0.5,0.6
classical,9780253203182,medium,0.2,0.8444444444444444
classical,9780765347985,long,0.0,0.37777777777777777
classical,9780374528669,short,0.1,0.9555555555555556
classical,9780345434906,medium,0.4,0.8
classical,9780764586064,long,0.3,0.0
classical,9780443066016,medium,0.0,0.9111111111111111
classical,9780812694536,medium,0.0,0.9111111111111111
classical,9780689860072,short,0.0,0.6666666666666666
classical,9780312353261,medium,0.3,0.7555555555555555
classical,9780843945195,medium,0.2,0.5333333333333333
